Series,Year,Purchases
Milk and milk products excluding cheese,2001,143.9394546772
Cheese,2001,56.8057303042
Carcase meat,2001,103.3969710641
Non-carcase meat and meat products,2001,354.9350209642
Fish,2001,92.7222370649
Eggs,2001,16.6558947137
Fats,2001,36.3371696676
Sugar and preserves,2001,15.4791277893
Fresh and processed potatoes,2001,103.9524314952
"Fresh and processed vegetables, excluding potatoes",2001,167.0374668662
Fresh and processed fruit,2001,149.5242667604
Bread,2001,86.2361416137
Flour,2001,2.3545500155
"Cakes, buns and pastries",2001,54.059553421
Biscuits and crispbreads,2001,48.9105005638
Other cereals and cereal products,2001,165.9251364415
Beverages,2001,43.8160189601
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2001,113.1719145361
Soft drinks,2001,72.0352831097
Confectionery,2001,80.7796463818
Alcoholic drinks,2001,244.1789894033
Milk and milk products excluding cheese,2002,147.2706534216
Cheese,2002,57.9443328832
Carcase meat,2002,106.2863614114
Non-carcase meat and meat products,2002,364.0757124657
Fish,2002,92.8299885327
Eggs,2002,17.2438308665
Fats,2002,36.7496489464
Sugar and preserves,2002,16.117170607
Fresh and processed potatoes,2002,98.6278033316
"Fresh and processed vegetables, excluding potatoes",2002,170.268716535
Fresh and processed fruit,2002,159.3049262463
Bread,2002,88.3041606986
Flour,2002,2.7542834278
"Cakes, buns and pastries",2002,56.5813061422
Biscuits and crispbreads,2002,53.8307866712
Other cereals and cereal products,2002,164.9024258912
Beverages,2002,42.1944023068
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2002,116.2415232774
Soft drinks,2002,73.9566408013
Confectionery,2002,76.6298634592
Alcoholic drinks,2002,248.7969304539
Milk and milk products excluding cheese,2003,153.6690928507
Cheese,2003,58.5731872365
Carcase meat,2003,110.7602160691
Non-carcase meat and meat products,2003,382.0816561927
Fish,2003,93.9478054398
Eggs,2003,17.8865356344
Fats,2003,35.7927194253
Sugar and preserves,2003,15.98256497
Fresh and processed potatoes,2003,102.3419827123
"Fresh and processed vegetables, excluding potatoes",2003,177.0997517627
Fresh and processed fruit,2003,162.5728666412
Bread,2003,89.5648734676
Flour,2003,2.4470398667
"Cakes, buns and pastries",2003,57.4599108016
Biscuits and crispbreads,2003,51.3576131432
Other cereals and cereal products,2003,167.0535504544
Beverages,2003,41.1554400049
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2003,118.2638244306
Soft drinks,2003,83.0938368003
Confectionery,2003,81.0969666699
Alcoholic drinks,2003,264.8701955227
Milk and milk products excluding cheese,2004,156.3435131401
Cheese,2004,60.123883895
Carcase meat,2004,113.940319498
Non-carcase meat and meat products,2004,379.8411954545
Fish,2004,99.0235866851
Eggs,2004,18.2079385185
Fats,2004,37.1352940652
Sugar and preserves,2004,17.0526840336
Fresh and processed potatoes,2004,101.8831961275
"Fresh and processed vegetables, excluding potatoes",2004,182.0771247239
Fresh and processed fruit,2004,166.9922520318
Bread,2004,92.6478509779
Flour,2004,2.7657360503
"Cakes, buns and pastries",2004,60.4192838239
Biscuits and crispbreads,2004,53.5013671136
Other cereals and cereal products,2004,166.3786295992
Beverages,2004,41.5900448107
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2004,123.368824537
Soft drinks,2004,81.3980847527
Confectionery,2004,84.2498427542
Alcoholic drinks,2004,265.8388112498
Milk and milk products excluding cheese,2005,164.0004855103
Cheese,2005,63.1813443736
Carcase meat,2005,114.1962023076
Non-carcase meat and meat products,2005,380.6936579118
